,éûçè,èoóàçÇ,ñÒíËíl
17813,10:04:25,100.0,1514.0
17814,10:04:25,100.0,1513.0
17815,10:04:24,100.0,1513.0
17816,10:04:23,100.0,1513.0
17817,10:04:23,300.0,1514.0
17818,10:04:22,400.0,1514.0
17819,10:04:22,100.0,1515.0
17820,10:04:21,100.0,1515.0
17821,10:04:21,3800.0,1515.0
17822,10:04:21,1800.0,1514.0
17823,10:04:20,100.0,1514.0
17824,10:04:20,100.0,1514.0
17825,10:04:20,100.0,1513.0
17826,10:04:20,900.0,1514.0
17827,10:04:20,800.0,1513.0
17828,10:04:20,1300.0,1511.0
17829,10:04:20,200.0,1512.0
17830,10:04:20,200.0,1512.0
17831,10:04:19,500.0,1513.0
17832,10:04:19,400.0,1513.0
17833,10:04:19,100.0,1513.0
17834,10:04:19,300.0,1513.0
17835,10:04:19,1100.0,1512.0
17836,10:04:19,100.0,1512.0
17837,10:04:19,100.0,1512.0
17838,10:04:19,300.0,1512.0
17839,10:04:19,200.0,1511.0
17840,10:04:19,300.0,1511.0
17841,10:04:19,1500.0,1511.0
17842,10:04:17,200.0,1510.0
17843,10:04:17,300.0,1510.0
17844,10:04:15,100.0,1509.0
17845,10:04:15,200.0,1509.0
17846,10:04:14,100.0,1508.0
17847,10:04:13,100.0,1507.0
17848,10:04:13,100.0,1508.0
17849,10:04:13,100.0,1508.0
17850,10:04:13,700.0,1507.0
17851,10:04:10,100.0,1507.0
17852,10:04:10,300.0,1506.0
17853,10:04:09,200.0,1507.0
17854,10:04:03,100.0,1505.0
17855,10:04:02,100.0,1505.0
17856,10:04:02,100.0,1506.0
17857,10:04:02,600.0,1505.0
17858,10:04:01,200.0,1505.0
17859,10:03:59,100.0,1506.0
17860,10:03:59,100.0,1505.0
17861,10:03:58,100.0,1507.0
17862,10:03:57,100.0,1506.0
17863,10:03:56,100.0,1506.0
17864,10:03:55,100.0,1506.0
17865,10:03:54,1300.0,1505.0
17866,10:03:54,100.0,1505.0
17867,10:03:54,300.0,1505.0
17868,10:03:54,1000.0,1505.0
17869,10:03:53,100.0,1506.0
17870,10:03:52,100.0,1506.0
17871,10:03:52,100.0,1505.0
17872,10:03:52,1300.0,1506.0
17873,10:03:52,100.0,1507.0
17874,10:03:52,200.0,1507.0
17875,10:03:49,100.0,1508.0
17876,10:03:49,100.0,1508.0
17877,10:03:48,100.0,1507.0
17878,10:03:47,500.0,1507.0
17879,10:03:47,1100.0,1508.0
17880,10:03:47,100.0,1509.0
17881,10:03:47,400.0,1510.0
17882,10:03:47,100.0,1509.0
17883,10:03:45,300.0,1509.0
17884,10:03:45,400.0,1511.0
17885,10:03:45,400.0,1510.0
17886,10:03:44,100.0,1510.0
17887,10:03:44,100.0,1510.0
17888,10:03:43,300.0,1509.0
17889,10:03:41,100.0,1510.0
17890,10:03:40,100.0,1510.0
17891,10:03:40,200.0,1510.0
17892,10:03:39,200.0,1510.0
17893,10:03:39,100.0,1511.0
17894,10:03:37,400.0,1512.0
17895,10:03:37,100.0,1511.0
17896,10:03:36,600.0,1511.0
17897,10:03:36,600.0,1511.0
17898,10:03:36,100.0,1510.0
17899,10:03:35,100.0,1511.0
17900,10:03:30,100.0,1510.0
17901,10:03:30,200.0,1510.0
17902,10:03:29,200.0,1509.0
17903,10:03:26,100.0,1510.0
17904,10:03:25,200.0,1509.0
17905,10:03:23,100.0,1511.0
17906,10:03:23,100.0,1511.0
17907,10:03:23,100.0,1511.0
17908,10:03:23,100.0,1511.0
17909,10:03:23,100.0,1511.0
17910,10:03:23,1000.0,1510.0
17911,10:03:23,3000.0,1510.0
17912,10:03:23,1100.0,1509.0
17913,10:03:23,100.0,1509.0
17914,10:03:23,100.0,1509.0
17915,10:03:23,200.0,1509.0
17916,10:03:23,1900.0,1508.0
17917,10:03:23,100.0,1508.0
17918,10:03:20,100.0,1507.0
17919,10:03:18,100.0,1508.0
17920,10:03:17,100.0,1507.0
17921,10:03:17,100.0,1507.0
17922,10:03:14,100.0,1506.0
17923,10:03:14,100.0,1508.0
17924,10:03:14,300.0,1507.0
17925,10:03:12,200.0,1506.0
17926,10:03:11,200.0,1506.0
17927,10:03:07,100.0,1506.0
17928,10:03:05,100.0,1506.0
17929,10:03:05,400.0,1506.0
17930,10:03:05,100.0,1507.0
17931,10:03:05,100.0,1506.0
17932,10:03:05,100.0,1508.0
17933,10:03:03,200.0,1507.0
17934,10:03:03,100.0,1507.0
17935,10:03:03,300.0,1507.0
17936,10:03:03,200.0,1507.0
17937,10:03:01,100.0,1507.0
17938,10:02:57,300.0,1508.0
17939,10:02:57,200.0,1507.0
17940,10:02:56,100.0,1506.0
17941,10:02:54,100.0,1507.0
17942,10:02:51,100.0,1508.0
17943,10:02:47,100.0,1508.0
17944,10:02:45,100.0,1507.0
17945,10:02:45,300.0,1507.0
17946,10:02:45,100.0,1507.0
17947,10:02:44,100.0,1507.0
17948,10:02:40,100.0,1507.0
17949,10:02:37,200.0,1507.0
17950,10:02:35,100.0,1508.0
17951,10:02:34,300.0,1508.0
17952,10:02:34,200.0,1508.0
17953,10:02:34,2000.0,1508.0
17954,10:02:32,100.0,1507.0
17955,10:02:31,200.0,1506.0
17956,10:02:29,100.0,1505.0
17957,10:02:28,100.0,1505.0
17958,10:02:22,100.0,1506.0
17959,10:02:21,100.0,1505.0
17960,10:02:21,300.0,1506.0
17961,10:02:20,100.0,1507.0
17962,10:02:20,600.0,1507.0
17963,10:02:20,400.0,1506.0
17964,10:02:20,300.0,1505.0
17965,10:02:19,100.0,1504.0
17966,10:02:19,100.0,1505.0
17967,10:02:18,100.0,1504.0
17968,10:02:18,200.0,1504.0
17969,10:02:18,100.0,1504.0
17970,10:02:17,600.0,1504.0
17971,10:02:17,400.0,1504.0
17972,10:02:17,300.0,1503.0
17973,10:02:17,200.0,1502.0
17974,10:02:17,100.0,1502.0
17975,10:02:17,100.0,1502.0
17976,10:02:17,400.0,1503.0
17977,10:02:17,300.0,1504.0
17978,10:02:17,100.0,1504.0
17979,10:02:16,100.0,1504.0
17980,10:02:16,1000.0,1504.0
17981,10:02:14,100.0,1505.0
17982,10:02:14,100.0,1505.0
17983,10:02:13,200.0,1505.0
17984,10:02:08,500.0,1505.0
17985,10:02:08,700.0,1505.0
17986,10:02:07,600.0,1506.0
17987,10:02:01,100.0,1508.0
17988,10:01:58,100.0,1507.0
17989,10:01:57,200.0,1506.0
17990,10:01:56,100.0,1506.0
17991,10:01:56,300.0,1505.0
17992,10:01:55,100.0,1506.0
17993,10:01:54,300.0,1505.0
17994,10:01:54,200.0,1506.0
17995,10:01:54,200.0,1507.0
17996,10:01:54,100.0,1507.0
17997,10:01:53,200.0,1505.0
17998,10:01:53,700.0,1506.0
17999,10:01:52,200.0,1507.0
18000,10:01:52,100.0,1507.0
18001,10:01:50,200.0,1507.0
18002,10:01:48,100.0,1506.0
18003,10:01:48,100.0,1507.0
18004,10:01:48,100.0,1506.0
18005,10:01:48,100.0,1506.0
18006,10:01:48,100.0,1506.0
18007,10:01:47,100.0,1506.0
18008,10:01:47,100.0,1507.0
18009,10:01:47,200.0,1505.0
18010,10:01:47,300.0,1505.0
18011,10:01:46,400.0,1505.0
18012,10:01:46,200.0,1506.0
18013,10:01:44,200.0,1507.0
18014,10:01:40,100.0,1508.0
18015,10:01:40,500.0,1508.0
18016,10:01:40,100.0,1507.0
18017,10:01:39,100.0,1507.0
18018,10:01:36,500.0,1507.0
18019,10:01:36,100.0,1507.0
18020,10:01:35,200.0,1508.0
18021,10:01:35,1400.0,1508.0
18022,10:01:35,100.0,1508.0
18023,10:01:34,100.0,1509.0
18024,10:01:34,100.0,1509.0
18025,10:01:34,100.0,1509.0
18026,10:01:34,100.0,1509.0
18027,10:01:32,200.0,1511.0
18028,10:01:32,200.0,1512.0
18029,10:01:32,100.0,1512.0
18030,10:01:30,100.0,1511.0
18031,10:01:30,100.0,1511.0
18032,10:01:30,100.0,1511.0
18033,10:01:30,700.0,1511.0
18034,10:01:30,200.0,1511.0
18035,10:01:30,100.0,1511.0
18036,10:01:30,200.0,1511.0
18037,10:01:30,1700.0,1510.0
18038,10:01:30,100.0,1510.0
18039,10:01:30,100.0,1510.0
18040,10:01:30,300.0,1510.0
18041,10:01:30,1800.0,1510.0
18042,10:01:30,2200.0,1509.0
18043,10:01:27,100.0,1509.0
18044,10:01:27,1000.0,1508.0
18045,10:01:27,500.0,1508.0
18046,10:01:26,100.0,1508.0
18047,10:01:26,700.0,1508.0
18048,10:01:26,400.0,1507.0
18049,10:01:26,200.0,1507.0
18050,10:01:26,100.0,1507.0
18051,10:01:25,200.0,1506.0
18052,10:01:24,500.0,1504.0
18053,10:01:24,1500.0,1505.0
18054,10:01:24,2000.0,1506.0
18055,10:01:24,100.0,1507.0
18056,10:01:24,100.0,1507.0
18057,10:01:23,100.0,1506.0
18058,10:01:21,100.0,1508.0
18059,10:01:18,300.0,1506.0
18060,10:01:18,100.0,1508.0
18061,10:01:15,200.0,1508.0
18062,10:01:14,200.0,1508.0
18063,10:01:14,100.0,1506.0
18064,10:01:14,100.0,1507.0
18065,10:01:12,200.0,1508.0
18066,10:01:12,100.0,1506.0
18067,10:01:12,100.0,1508.0
18068,10:01:12,900.0,1507.0
18069,10:01:12,100.0,1506.0
18070,10:01:12,100.0,1507.0
18071,10:01:12,100.0,1506.0
18072,10:01:12,400.0,1507.0
18073,10:01:11,200.0,1506.0
18074,10:01:11,300.0,1506.0
18075,10:01:11,200.0,1506.0
18076,10:01:11,100.0,1506.0
18077,10:01:11,100.0,1506.0
18078,10:01:09,2900.0,1505.0
18079,10:01:09,100.0,1505.0
18080,10:01:06,100.0,1505.0
